lookup_key,연도,지역단계,시도,지역명,인사이트유형,지표ID,지표명,대시보드_표시명,대시보드_현재선택지표,분석인사이트,데이터주의사항
2024|시도|서울|서울|damage,2024,시도,서울,서울,원지표,damage,우심피해액,우심피해액(원),Y,"2024년 서울의 우심피해액은 629.6억 원으로, 17개 시도 중 10위이며 전국 합계의 1.64%다. 1인당 피해액은 6,747원(14위)이고, 피해비중/인구비중은 0.09배다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|서울|서울|population,2024,시도,서울,서울,원지표,population,인구수,인구수(건),Y,"2024년 서울의 인구는 9,331,828명으로 17개 시도 중 2위이며 전국의 18.22%를 차지한다. 시도 평균 인구의 3.10배다.",
2024|시도|서울|서울|housing,2024,시도,서울,서울,원지표,housing,주택 지표,주택 보험 가입 현황(건),Y,"2024년 서울의 주택 수는 3,170,332건으로 17개 시도 중 2위이며 전체의 15.95%다. 인구 1천 명당 339.73건으로 17위(최하위)다. 원본 Z값은 +1.7396다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|서울|서울|housingZ,2024,시도,서울,서울,원지표,housingZ,주택 지표 Z값,주택 보험 가입 현황(Z값),Y,"2024년 서울의 주택 지표 Z값은 +1.7396로 17개 시도 중 2위다. 평균보다 1.74 표준편차 높다고, 평균과 차이가 큰 수준이다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|서울|서울|damagePerCapita,2024,시도,서울,서울,파생지표,damagePerCapita,1인당 우심피해액,,N,"2024년 서울의 1인당 우심피해액은 6,747원으로 17개 시도 중 14위다. 전국 전체 인구 기준 평균 1인당 피해액의 0.09배이며, 인구 규모 대비 피해 부담은 매우 낮게 나타난다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|서울|서울|housingPer1000,2024,시도,서울,서울,파생지표,housingPer1000,인구 1천 명당 주택 지표,,N,2024년 서울의 인구 1천 명당 주택 지표는 339.73건으로 17개 시도 중 17위(최하위)다. 시도 평균의 0.83배다.,2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|서울|서울|damagePerHousing,2024,시도,서울,서울,파생지표,damagePerHousing,주택 지표 1건당 우심피해액,,N,"2024년 서울의 주택 지표 1건당 우심피해액 단순 비율은 19,858원으로 17개 시도 중 14위다. 시도 평균 단순 비율의 0.08배다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 피해액과 주택 지표의 기준기간·정의가 다를 수 있어 공식 손해율이나 보험보장공백률이 아닌 탐색적 비율이다.
2024|시도|서울|서울|greenhouse,2024,시도,서울,서울,원지표,greenhouse,온실 면적,,N,"2024년 서울의 온실 면적은 1,070,000㎡로 17개 시도 중 17위(최하위)이며 전체의 0.20%다. 인구 1명당 0.11㎡다. 원본 Z값은 -0.9125다.",
2024|시도|서울|서울|greenhouseZ,2024,시도,서울,서울,원지표,greenhouseZ,온실 면적 Z값,,N,"2024년 서울의 온실 면적 Z값은 -0.9125로 17개 시도 중 17위(최하위)다. 평균보다 0.91 표준편차 낮다고, 평균과 다소 차이가 있는 수준이다.",
2024|시도|서울|서울|smallbiz,2024,시도,서울,서울,원지표,smallbiz,소상공인,,N,"2024년 서울의 소상공인 지표는 1,129,695건으로 17개 시도 중 2위이며 전체의 18.42%다. 인구 1천 명당 121.06건으로 8위다.",2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|부산|부산|overall,2024,시도,부산,부산,종합,overall,종합 인사이트,,N,"2024년 부산의 인구는 3,266,598명으로 17개 시도 중 3위다. 우심피해액은 384.1억 원(12위)이고, 1인당 피해액은 11,758원(13위)이며 피해비중은 인구비중의 0.16배다. 인구 규모 대비 피해 부담은 매우 낮게 나타난다. 주택 수는 3위이고 인구 1천 명당 413.41건으로 시도 평균 407.27건과 비교해 비슷하다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|부산|부산|damage,2024,시도,부산,부산,원지표,damage,우심피해액,우심피해액(원),Y,"2024년 부산의 우심피해액은 384.1억 원으로, 17개 시도 중 12위이며 전국 합계의 1.00%다. 1인당 피해액은 11,758원(13위)이고, 피해비중/인구비중은 0.16배다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|부산|부산|population,2024,시도,부산,부산,원지표,population,인구수,인구수(건),Y,"2024년 부산의 인구는 3,266,598명으로 17개 시도 중 3위이며 전국의 6.38%를 차지한다. 시도 평균 인구의 1.08배다.",
2024|시도|부산|부산|housing,2024,시도,부산,부산,원지표,housing,주택 지표,주택 보험 가입 현황(건),Y,"2024년 부산의 주택 수는 1,350,452건으로 17개 시도 중 3위이며 전체의 6.80%다. 인구 1천 명당 413.41건으로 8위다. 원본 Z값은 +0.1577다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|부산|부산|housingZ,2024,시도,부산,부산,원지표,housingZ,주택 지표 Z값,주택 보험 가입 현황(Z값),Y,"2024년 부산의 주택 지표 Z값은 +0.1577로 17개 시도 중 3위다. 평균보다 0.16 표준편차 높다고, 평균에 가까운 수준이다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|부산|부산|damagePerCapita,2024,시도,부산,부산,파생지표,damagePerCapita,1인당 우심피해액,,N,"2024년 부산의 1인당 우심피해액은 11,758원으로 17개 시도 중 13위다. 전국 전체 인구 기준 평균 1인당 피해액의 0.16배이며, 인구 규모 대비 피해 부담은 매우 낮게 나타난다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|부산|부산|housingPer1000,2024,시도,부산,부산,파생지표,housingPer1000,인구 1천 명당 주택 지표,,N,2024년 부산의 인구 1천 명당 주택 지표는 413.41건으로 17개 시도 중 8위다. 시도 평균의 1.02배다.,2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|부산|부산|damagePerHousing,2024,시도,부산,부산,파생지표,damagePerHousing,주택 지표 1건당 우심피해액,,N,"2024년 부산의 주택 지표 1건당 우심피해액 단순 비율은 28,440원으로 17개 시도 중 13위다. 시도 평균 단순 비율의 0.12배다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 피해액과 주택 지표의 기준기간·정의가 다를 수 있어 공식 손해율이나 보험보장공백률이 아닌 탐색적 비율이다.
2024|시도|부산|부산|greenhouse,2024,시도,부산,부산,원지표,greenhouse,온실 면적,,N,"2024년 부산의 온실 면적은 6,350,000㎡로 17개 시도 중 10위이며 전체의 1.19%다. 인구 1명당 1.94㎡다. 원본 Z값은 -0.7541다.",
2024|시도|부산|부산|greenhouseZ,2024,시도,부산,부산,원지표,greenhouseZ,온실 면적 Z값,,N,"2024년 부산의 온실 면적 Z값은 -0.7541로 17개 시도 중 10위다. 평균보다 0.75 표준편차 낮다고, 평균과 다소 차이가 있는 수준이다.",
2024|시도|부산|부산|smallbiz,2024,시도,부산,부산,원지표,smallbiz,소상공인,,N,"2024년 부산의 소상공인 지표는 387,676건으로 17개 시도 중 4위이며 전체의 6.32%다. 인구 1천 명당 118.68건으로 11위다.",2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|대구|대구|overall,2024,시도,대구,대구,종합,overall,종합 인사이트,,N,"2024년 대구의 인구는 2,363,629명으로 17개 시도 중 7위다. 우심피해액은 104.7억 원(15위)이고, 1인당 피해액은 4,428원(16위)이며 피해비중은 인구비중의 0.06배다. 인구 규모 대비 피해 부담은 매우 낮게 나타난다. 주택 수는 8위이고 인구 1천 명당 382.29건으로 시도 평균 407.27건과 비교해 낮다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|대구|대구|damage,2024,시도,대구,대구,원지표,damage,우심피해액,우심피해액(원),Y,"2024년 대구의 우심피해액은 104.7억 원으로, 17개 시도 중 15위이며 전국 합계의 0.27%다. 1인당 피해액은 4,428원(16위)이고, 피해비중/인구비중은 0.06배다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|대구|대구|population,2024,시도,대구,대구,원지표,population,인구수,인구수(건),Y,"2024년 대구의 인구는 2,363,629명으로 17개 시도 중 7위이며 전국의 4.61%를 차지한다. 시도 평균 인구의 0.78배다.",
2024|시도|대구|대구|housing,2024,시도,대구,대구,원지표,housing,주택 지표,주택 보험 가입 현황(건),Y,"2024년 대구의 주택 수는 903,591건으로 17개 시도 중 8위이며 전체의 4.55%다. 인구 1천 명당 382.29건으로 12위다. 원본 Z값은 -0.2307다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|대구|대구|housingZ,2024,시도,대구,대구,원지표,housingZ,주택 지표 Z값,주택 보험 가입 현황(Z값),Y,"2024년 대구의 주택 지표 Z값은 -0.2307로 17개 시도 중 8위다. 평균보다 0.23 표준편차 낮다고, 평균에 가까운 수준이다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|대구|대구|damagePerCapita,2024,시도,대구,대구,파생지표,damagePerCapita,1인당 우심피해액,,N,"2024년 대구의 1인당 우심피해액은 4,428원으로 17개 시도 중 16위다. 전국 전체 인구 기준 평균 1인당 피해액의 0.06배이며, 인구 규모 대비 피해 부담은 매우 낮게 나타난다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|대구|대구|housingPer1000,2024,시도,대구,대구,파생지표,housingPer1000,인구 1천 명당 주택 지표,,N,2024년 대구의 인구 1천 명당 주택 지표는 382.29건으로 17개 시도 중 12위다. 시도 평균의 0.94배다.,2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|대구|대구|damagePerHousing,2024,시도,대구,대구,파생지표,damagePerHousing,주택 지표 1건당 우심피해액,,N,"2024년 대구의 주택 지표 1건당 우심피해액 단순 비율은 11,583원으로 17개 시도 중 16위다. 시도 평균 단순 비율의 0.05배다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 피해액과 주택 지표의 기준기간·정의가 다를 수 있어 공식 손해율이나 보험보장공백률이 아닌 탐색적 비율이다.
2024|시도|대구|대구|greenhouse,2024,시도,대구,대구,원지표,greenhouse,온실 면적,,N,"2024년 대구의 온실 면적은 10,220,000㎡로 17개 시도 중 9위이며 전체의 1.91%다. 인구 1명당 4.32㎡다. 원본 Z값은 -0.6380다.",
2024|시도|대구|대구|greenhouseZ,2024,시도,대구,대구,원지표,greenhouseZ,온실 면적 Z값,,N,"2024년 대구의 온실 면적 Z값은 -0.6380로 17개 시도 중 9위다. 평균보다 0.64 표준편차 낮다고, 평균과 다소 차이가 있는 수준이다.",
2024|시도|대구|대구|smallbiz,2024,시도,대구,대구,원지표,smallbiz,소상공인,,N,"2024년 대구의 소상공인 지표는 276,398건으로 17개 시도 중 8위이며 전체의 4.51%다. 인구 1천 명당 116.94건으로 12위다.",2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|인천|인천|overall,2024,시도,인천,인천,종합,overall,종합 인사이트,,N,"2024년 인천의 인구는 3,021,010명으로 17개 시도 중 5위다. 우심피해액은 70.9억 원(17위(최하위))이고, 1인당 피해액은 2,348원(17위(최하위))이며 피해비중은 인구비중의 0.03배다. 인구 규모 대비 피해 부담은 매우 낮게 나타난다. 주택 수는 5위이고 인구 1천 명당 381.58건으로 시도 평균 407.27건과 비교해 낮다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|인천|인천|damage,2024,시도,인천,인천,원지표,damage,우심피해액,우심피해액(원),Y,"2024년 인천의 우심피해액은 70.9억 원으로, 17개 시도 중 17위(최하위)이며 전국 합계의 0.19%다. 1인당 피해액은 2,348원(17위(최하위))이고, 피해비중/인구비중은 0.03배다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|인천|인천|population,2024,시도,인천,인천,원지표,population,인구수,인구수(건),Y,"2024년 인천의 인구는 3,021,010명으로 17개 시도 중 5위이며 전국의 5.90%를 차지한다. 시도 평균 인구의 1.00배다.",
2024|시도|인천|인천|housing,2024,시도,인천,인천,원지표,housing,주택 지표,주택 보험 가입 현황(건),Y,"2024년 인천의 주택 수는 1,152,762건으로 17개 시도 중 5위이며 전체의 5.80%다. 인구 1천 명당 381.58건으로 13위다. 원본 Z값은 -0.0141다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|인천|인천|housingZ,2024,시도,인천,인천,원지표,housingZ,주택 지표 Z값,주택 보험 가입 현황(Z값),Y,"2024년 인천의 주택 지표 Z값은 -0.0141로 17개 시도 중 5위다. 평균보다 0.01 표준편차 낮다고, 평균에 가까운 수준이다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|인천|인천|damagePerCapita,2024,시도,인천,인천,파생지표,damagePerCapita,1인당 우심피해액,,N,"2024년 인천의 1인당 우심피해액은 2,348원으로 17개 시도 중 17위(최하위)다. 전국 전체 인구 기준 평균 1인당 피해액의 0.03배이며, 인구 규모 대비 피해 부담은 매우 낮게 나타난다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|인천|인천|housingPer1000,2024,시도,인천,인천,파생지표,housingPer1000,인구 1천 명당 주택 지표,,N,2024년 인천의 인구 1천 명당 주택 지표는 381.58건으로 17개 시도 중 13위다. 시도 평균의 0.94배다.,2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|인천|인천|damagePerHousing,2024,시도,인천,인천,파생지표,damagePerHousing,주택 지표 1건당 우심피해액,,N,"2024년 인천의 주택 지표 1건당 우심피해액 단순 비율은 6,154원으로 17개 시도 중 17위(최하위)다. 시도 평균 단순 비율의 0.03배다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 피해액과 주택 지표의 기준기간·정의가 다를 수 있어 공식 손해율이나 보험보장공백률이 아닌 탐색적 비율이다.
2024|시도|인천|인천|greenhouse,2024,시도,인천,인천,원지표,greenhouse,온실 면적,,N,"2024년 인천의 온실 면적은 4,360,000㎡로 17개 시도 중 12위이며 전체의 0.81%다. 인구 1명당 1.44㎡다. 원본 Z값은 -0.8138다.",
2024|시도|인천|인천|greenhouseZ,2024,시도,인천,인천,원지표,greenhouseZ,온실 면적 Z값,,N,"2024년 인천의 온실 면적 Z값은 -0.8138로 17개 시도 중 12위다. 평균보다 0.81 표준편차 낮다고, 평균과 다소 차이가 있는 수준이다.",
2024|시도|인천|인천|smallbiz,2024,시도,인천,인천,원지표,smallbiz,소상공인,,N,"2024년 인천의 소상공인 지표는 317,120건으로 17개 시도 중 6위이며 전체의 5.17%다. 인구 1천 명당 104.97건으로 15위다.",2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|광주|광주|overall,2024,시도,광주,광주,종합,overall,종합 인사이트,,N,"2024년 광주의 인구는 1,408,422명으로 17개 시도 중 14위다. 우심피해액은 393.9억 원(11위)이고, 1인당 피해액은 27,966원(12위)이며 피해비중은 인구비중의 0.37배다. 인구 규모 대비 피해 부담은 매우 낮게 나타난다. 주택 수는 13위이고 인구 1천 명당 403.28건으로 시도 평균 407.27건과 비교해 비슷하다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|광주|광주|damage,2024,시도,광주,광주,원지표,damage,우심피해액,우심피해액(원),Y,"2024년 광주의 우심피해액은 393.9억 원으로, 17개 시도 중 11위이며 전국 합계의 1.03%다. 1인당 피해액은 27,966원(12위)이고, 피해비중/인구비중은 0.37배다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|광주|광주|population,2024,시도,광주,광주,원지표,population,인구수,인구수(건),Y,"2024년 광주의 인구는 1,408,422명으로 17개 시도 중 14위이며 전국의 2.75%를 차지한다. 시도 평균 인구의 0.47배다.",
2024|시도|광주|광주|housing,2024,시도,광주,광주,원지표,housing,주택 지표,주택 보험 가입 현황(건),Y,"2024년 광주의 주택 수는 567,994건으로 17개 시도 중 13위이며 전체의 2.86%다. 인구 1천 명당 403.28건으로 10위다. 원본 Z값은 -0.5224다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|광주|광주|housingZ,2024,시도,광주,광주,원지표,housingZ,주택 지표 Z값,주택 보험 가입 현황(Z값),Y,"2024년 광주의 주택 지표 Z값은 -0.5224로 17개 시도 중 13위다. 평균보다 0.52 표준편차 낮다고, 평균과 다소 차이가 있는 수준이다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|광주|광주|damagePerCapita,2024,시도,광주,광주,파생지표,damagePerCapita,1인당 우심피해액,,N,"2024년 광주의 1인당 우심피해액은 27,966원으로 17개 시도 중 12위다. 전국 전체 인구 기준 평균 1인당 피해액의 0.37배이며, 인구 규모 대비 피해 부담은 매우 낮게 나타난다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|광주|광주|housingPer1000,2024,시도,광주,광주,파생지표,housingPer1000,인구 1천 명당 주택 지표,,N,2024년 광주의 인구 1천 명당 주택 지표는 403.28건으로 17개 시도 중 10위다. 시도 평균의 0.99배다.,2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|광주|광주|damagePerHousing,2024,시도,광주,광주,파생지표,damagePerHousing,주택 지표 1건당 우심피해액,,N,"2024년 광주의 주택 지표 1건당 우심피해액 단순 비율은 69,346원으로 17개 시도 중 12위다. 시도 평균 단순 비율의 0.30배다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 피해액과 주택 지표의 기준기간·정의가 다를 수 있어 공식 손해율이나 보험보장공백률이 아닌 탐색적 비율이다.
2024|시도|광주|광주|greenhouse,2024,시도,광주,광주,원지표,greenhouse,온실 면적,,N,"2024년 광주의 온실 면적은 6,110,000㎡로 17개 시도 중 11위이며 전체의 1.14%다. 인구 1명당 4.34㎡다. 원본 Z값은 -0.7613다.",
2024|시도|광주|광주|greenhouseZ,2024,시도,광주,광주,원지표,greenhouseZ,온실 면적 Z값,,N,"2024년 광주의 온실 면적 Z값은 -0.7613로 17개 시도 중 11위다. 평균보다 0.76 표준편차 낮다고, 평균과 다소 차이가 있는 수준이다.",
2024|시도|광주|광주|smallbiz,2024,시도,광주,광주,원지표,smallbiz,소상공인,,N,"2024년 광주의 소상공인 지표는 168,977건으로 17개 시도 중 13위이며 전체의 2.75%다. 인구 1천 명당 119.98건으로 10위다.",2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|대전|대전|overall,2024,시도,대전,대전,종합,overall,종합 인사이트,,N,"2024년 대전의 인구는 1,439,157명으로 17개 시도 중 13위다. 우심피해액은 83.2억 원(16위)이고, 1인당 피해액은 5,779원(15위)이며 피해비중은 인구비중의 0.08배다. 인구 규모 대비 피해 부담은 매우 낮게 나타난다. 주택 수는 14위이고 인구 1천 명당 363.98건으로 시도 평균 407.27건과 비교해 낮다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|대전|대전|damage,2024,시도,대전,대전,원지표,damage,우심피해액,우심피해액(원),Y,"2024년 대전의 우심피해액은 83.2억 원으로, 17개 시도 중 16위이며 전국 합계의 0.22%다. 1인당 피해액은 5,779원(15위)이고, 피해비중/인구비중은 0.08배다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|대전|대전|population,2024,시도,대전,대전,원지표,population,인구수,인구수(건),Y,"2024년 대전의 인구는 1,439,157명으로 17개 시도 중 13위이며 전국의 2.81%를 차지한다. 시도 평균 인구의 0.48배다.",
2024|시도|대전|대전|housing,2024,시도,대전,대전,원지표,housing,주택 지표,주택 보험 가입 현황(건),Y,"2024년 대전의 주택 수는 523,823건으로 17개 시도 중 14위이며 전체의 2.64%다. 인구 1천 명당 363.98건으로 15위다. 원본 Z값은 -0.5608다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|대전|대전|housingZ,2024,시도,대전,대전,원지표,housingZ,주택 지표 Z값,주택 보험 가입 현황(Z값),Y,"2024년 대전의 주택 지표 Z값은 -0.5608로 17개 시도 중 14위다. 평균보다 0.56 표준편차 낮다고, 평균과 다소 차이가 있는 수준이다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|대전|대전|damagePerCapita,2024,시도,대전,대전,파생지표,damagePerCapita,1인당 우심피해액,,N,"2024년 대전의 1인당 우심피해액은 5,779원으로 17개 시도 중 15위다. 전국 전체 인구 기준 평균 1인당 피해액의 0.08배이며, 인구 규모 대비 피해 부담은 매우 낮게 나타난다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|시도|대전|대전|housingPer1000,2024,시도,대전,대전,파생지표,housingPer1000,인구 1천 명당 주택 지표,,N,2024년 대전의 인구 1천 명당 주택 지표는 363.98건으로 17개 시도 중 15위다. 시도 평균의 0.89배다.,2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|시도|대전|대전|damagePerHousing,2024,시도,대전,대전,파생지표,damagePerHousing,주택 지표 1건당 우심피해액,,N,"2024년 대전의 주택 지표 1건당 우심피해액 단순 비율은 15,877원으로 17개 시도 중 15위다. 시도 평균 단순 비율의 0.07배다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 피해액과 주택 지표의 기준기간·정의가 다를 수 있어 공식 손해율이나 보험보장공백률이 아닌 탐색적 비율이다.
2024|시도|대전|대전|greenhouse,2024,시도,대전,대전,원지표,greenhouse,온실 면적,,N,"2024년 대전의 온실 면적은 1,760,000㎡로 17개 시도 중 15위이며 전체의 0.33%다. 인구 1명당 1.22㎡다. 원본 Z값은 -0.8918다.",
2024|시도|대전|대전|greenhouseZ,2024,시도,대전,대전,원지표,greenhouseZ,온실 면적 Z값,,N,"2024년 대전의 온실 면적 Z값은 -0.8918로 17개 시도 중 15위다. 평균보다 0.89 표준편차 낮다고, 평균과 다소 차이가 있는 수준이다.",
